u1*(-a^2),u2*(1/Ma),u3*(Mb),u4*(Mc),u5*(h),u6*(m),y
0.363710771,0.386942606,0.01158581,0.290628879,0.521651831,0.090032218,20.35938441
0.57019677,0.309277882,0.840293486,0.698735019,0.524245749,0.432876373,25.97640839
0.438601513,0.416850673,0.39577765,0.768483314,0.529254805,0.444823057,25.90749436
0.988373838,0.905998995,0.829899059,0.587373751,0.474817439,0.009236613,25.20782808
0.102044811,0.425947761,0.995370351,0.862646858,0.154134226,0.765705215,23.82900637
0.208876756,0.912744313,0.115086732,0.7151976,0.726859146,0.762999961,30.15711171
0.161309518,0.80540086,0.832545799,0.462644048,0.729050656,0.254281963,26.78352228
0.653108325,0.288378332,0.760512675,0.599931871,0.518551128,0.970054979,27.98460032
0.253291603,0.318089019,0.776554825,0.442086928,0.32666426,0.80007457,23.19854804
0.466310773,0.369844225,0.439502178,0.95059166,0.574800099,0.626225646,28.43368686
0.244425592,0.605647192,0.609107312,0.493677433,0.378083964,0.146209278,21.44957228
0.158969584,0.674062517,0.247642036,0.058136203,0.6998297,0.407621282,23.4964698
0.110375141,0.972229836,0.031650231,0.034313459,0.555571522,0.147630711,20.79580771
0.656329589,0.926516063,0.727772965,0.424320121,0.456074448,0.199598182,24.20067183
0.138182951,0.611871721,0.13883304,0.075818369,0.230251306,0.246359518,16.7699541
0.196582362,0.046238779,0.299639531,0.881717612,0.819772983,0.334575781,27.78180073
0.368725171,0.54530762,0.053522769,0.937937314,0.976532634,0.514002333,32.36968452
0.82099323,0.403640221,0.565752911,0.124786701,0.160413949,0.773704753,20.24374784
0.097101276,0.544778725,0.857235257,0.523254512,0.247389885,0.685934438,22.6522695
0.837944907,0.040176373,0.072862971,0.33565778,0.91324325,0.219985718,25.97850766
0.096098408,0.995762207,0.392132309,0.875032343,0.132304174,0.053737621,20.87421415
0.976459465,0.05695837,0.832559672,0.039292534,0.661152529,0.233404912,22.70924366
0.468651202,0.272679934,0.774653298,0.965299469,0.873417362,0.073923308,29.55974384
0.976761088,0.072124029,0.21369223,0.858274718,0.794291781,0.795245362,31.14780909
0.60484552,0.547611106,0.251009373,0.088080377,0.392709344,0.06857374,18.8129015
0.739263579,0.351818297,0.631498016,0.851874618,0.453699609,0.739440872,27.73407645
0.039187792,0.375299843,0.239132827,0.687077503,0.601538528,0.723363752,26.52072047
0.282806963,0.789167521,0.343136206,0.251389872,0.932409539,0.331144536,27.80079718
0.120196561,0.904020116,0.780985458,0.595527435,0.470883611,0.65267067,26.61105295
0.296140198,0.165696983,0.61663904,0.236264236,0.376905259,0.506715505,20.48835596
0.118727719,0.27897694,0.106722274,0.239624629,0.695826814,0.982320127,25.93373985
0.317983179,0.47272862,0.385097512,0.722538485,0.394474168,0.38084044,23.60492162
0.414262995,0.11288167,0.197962691,0.229398416,0.53485373,0.934651855,23.93200957
0.064147496,0.386538082,0.545470571,0.422893784,0.839929023,0.289341216,26.16933215
0.692472119,0.302088046,0.948882979,0.995723761,0.84488119,0.382880196,31.74185067
0.566601454,0.921976337,0.499066733,0.973988286,0.584946205,0.501569964,30.01886601
0.265389491,0.19853412,0.834818062,0.660560616,0.114323729,0.659276323,21.01023849
0.523248053,0.721211398,0.679412292,0.636429398,0.707049722,0.203661676,27.55073017
0.093940511,0.215893209,0.460883817,0.220685625,0.368875294,0.980768893,22.18134812
0.575946496,0.625658379,0.914203971,0.132519119,0.843905501,0.964936937,30.14683949
0.929296198,0.581990728,0.972797589,0.064451334,0.060510351,0.636603614,19.35961125
0.318568952,0.458724293,0.9469049,0.326939758,0.653119901,0.449710872,25.48129986
0.66741038,0.816907302,0.878518724,0.341041758,0.403772822,0.53222853,24.65598782
0.131797862,0.222717194,0.740480234,0.493401511,0.559749308,0.630614123,24.87293904
0.716327204,0.477280224,0.91709626,0.280463952,0.833690047,0.649241816,29.17341283
0.289406093,0.982417601,0.193985348,0.531594591,0.336947632,0.90313885,25.56567639
0.183191362,0.183261789,0.872104655,0.239624666,0.067369802,0.648519517,17.71310827
0.586512935,0.545432455,0.500671421,0.176495523,0.072061607,0.985057776,20.40933167
0.020107546,0.293105783,0.145327203,0.398182268,0.33786068,0.689444584,21.02816794
0.828940029,0.12380606,0.493249675,0.962415614,0.250441437,0.538806877,24.24299806
0.004695476,0.851592981,0.038819148,0.228889711,0.171964425,0.148002427,16.79932211
0.677816537,0.577678842,0.906346994,0.865423971,0.279384553,0.690243908,26.4445681
0.270007973,0.578829264,0.258623329,0.473973923,0.990133125,0.478912618,29.78444286
0.735194022,0.545334737,0.266979483,0.871426933,0.834818599,0.008364456,28.79506855
0.962188545,0.184468107,0.443719039,0.741238041,0.592609148,0.195196287,25.67807942
0.248753144,0.568633166,0.189149869,0.047941054,0.705218755,0.759262974,25.03371684
0.576157334,0.091389014,0.926417849,0.971857252,0.109625211,0.835798746,24.14174826
0.592041931,0.68264187,0.689599264,0.0551134,0.63938576,0.84884747,26.51395523
0.572251906,0.051457168,0.678844826,0.723740687,0.834519227,0.592168849,29.63466165
0.223081633,0.189151117,0.91684226,0.82099866,0.435036207,0.842143927,26.74602608
0.952749012,0.294217797,0.132172602,0.266758494,0.201014067,0.484258414,19.42042216
0.447125379,0.278931218,0.260265002,0.169431251,0.932802788,0.535892652,27.01112614
0.846408672,0.812102289,0.66655583,0.632173576,0.522883395,0.896096832,29.67708431
0.699479275,0.287750645,0.688192769,0.970943048,0.775646101,0.953552555,33.19567391
0.297436951,0.073957902,0.833696859,0.847481832,0.849416206,0.928351636,31.98693654
0.81379782,0.067982694,0.727633211,0.064484999,0.961509291,0.635139613,28.02371308
0.396505741,0.149413519,0.041559021,0.868982071,0.319773638,0.534476113,23.02714722
0.881103197,0.3941919,0.623581617,0.344856944,0.408057712,0.072909759,21.21053752
0.581272873,0.196814234,0.785284958,0.827244536,0.232907003,0.830119826,24.83986626
0.881735362,0.235022359,0.868579466,0.01744266,0.221052952,0.011059644,16.58399661
0.69253159,0.183975655,0.871801143,0.600380498,0.205205966,0.817074754,23.39482022
0.72525428,0.298735397,0.194027778,0.553834022,0.057076723,0.093634842,17.11385544
0.501324382,0.504858729,0.244958756,0.009922385,0.247223902,0.55971221,18.70944527
0.956083635,0.971347072,0.603189754,0.548436758,0.314398732,0.828040583,26.93460136
0.643990199,0.791990442,0.466638138,0.235634102,0.658163668,0.771374983,27.53255248
0.423855049,0.172520703,0.359721385,0.005126519,0.26115008,0.512053981,17.62968426
0.606393214,0.80285069,0.965267457,0.549814406,0.581656356,0.280674919,26.75137699
0.019193198,0.71009303,0.214720077,0.344120802,0.037666912,0.347267703,16.74381187
0.301574817,0.90579841,0.851084974,0.786090954,0.130204449,0.682252305,24.28743296
0.660173537,0.434706734,0.605393753,0.825600311,0.673365,0.59858578,29.55946867
0.290077607,0.867098683,0.695397525,0.079681352,0.444881895,0.107879609,20.58061645
0.618015429,0.698090253,0.773872476,0.419122391,0.599311463,0.710334083,27.74925264
0.428768701,0.273092576,0.471146968,0.418833177,0.638557817,0.260585647,23.86215668
0.135474064,0.389776148,0.974506628,0.214374003,0.675438648,0.81817593,26.38442396
0.298282326,0.83847859,0.48041762,0.589793482,0.084904795,0.089150734,18.83599896
0.569964911,0.80771228,0.282643887,0.710392517,0.01909214,0.121726335,19.08712494
0.590872761,0.245505973,0.906217855,0.086826012,0.710566271,0.205055907,23.35062109
0.574325249,0.836273891,0.483011135,0.503894044,0.484491903,0.633000635,26.38425915
0.65320082,0.945757072,0.928488119,0.46933973,0.766459901,0.896406457,32.03199451
0.65210327,0.877769459,0.530992473,0.304910151,0.810350873,0.193634936,27.25584969
0.431418435,0.381288028,0.22652895,0.281883452,0.822593108,0.315712802,25.48747639
0.896546596,0.541161796,0.343904559,0.351807055,0.137960358,0.623104051,20.8143223
0.36756187,0.845960642,0.982083342,0.490317048,0.691316931,0.055766918,26.26267073
0.435864925,0.716400428,0.210061673,0.274450665,0.562839857,0.933653558,26.4050737
0.891923355,0.70910494,0.362451539,0.538857679,0.53492476,0.602680824,27.12048615
0.806193989,0.285251461,0.288433013,0.759017896,0.839395631,0.909216663,32.07373014
0.703888584,0.61080189,0.715998931,0.396920478,0.025039701,0.462920511,19.31078307
0.100226887,0.054461116,0.231712995,0.124536873,0.088304129,0.388878323,14.46266901
0.919482614,0.2971474,0.831746931,0.652917024,0.28603553,0.825844653,25.45717959
0.7142413,0.202788866,0.958601712,0.710646275,0.997889431,0.676375197,33.09517857
0.998847007,0.387014574,0.41649143,0.25397737,0.047462912,0.407566246,17.91472527
0.149448305,0.738229586,0.493418246,0.839823586,0.277824066,0.583830983,24.54569796
0.868126057,0.260541128,0.786762354,0.275384066,0.291252273,0.158872672,19.63971407
0.162492935,0.178915091,0.441502039,0.734216867,0.567978521,0.279478652,24.14242091
0.615559564,0.842035675,0.069538304,0.226514334,0.480682699,0.265110572,22.31436486
0.123819983,0.915097964,0.543697496,0.427201426,0.238907113,0.16683692,20.07275861
0.848008229,0.446216596,0.522195748,0.76942913,0.092352136,0.393186984,21.5086952
0.807318959,0.244497772,0.419228533,0.264856067,0.862444296,0.513964013,27.48526206
0.569100739,0.252365902,0.289491955,0.74238392,0.962275131,0.250537278,29.58382859
0.407183297,0.416179888,0.244328151,0.368134743,0.74341128,0.591985113,26.51906787
0.069166995,0.802442938,0.535067887,0.99980159,0.158420514,0.730440814,24.90032441
0.697428773,0.561481681,0.1565224,0.252623243,0.676067072,0.653069861,26.20797982
0.453542683,0.577335947,0.12967635,0.106873296,0.271432151,0.010410947,16.78408806
0.722055599,0.978157316,0.490480626,0.422436126,0.504339261,0.96243808,28.51318237
0.866382326,0.077675197,0.366714489,0.720154097,0.589059077,0.574469253,26.77784174
0.975521505,0.475013393,0.781868844,0.955566363,0.722742528,0.897218132,33.44128563
0.855803342,0.479402295,0.391912264,0.667048444,0.698697348,0.486551993,28.55710077
0.011714084,0.553973976,0.908135167,0.540640446,0.325664126,0.527393043,22.83633026
0.359978064,0.167940237,0.154527434,0.762495219,0.574209164,0.945077797,27.64643825
0.729990562,0.168922148,0.912967806,0.603053558,0.960544643,0.876456542,32.86333905
0.171629677,0.415448561,0.175301327,0.682513528,0.870280626,0.03055841,26.54379776
0.521036606,0.606217256,0.23087129,0.555946618,0.52076338,0.311721587,24.35048012
0.054337988,0.302802525,0.214969605,0.277689394,0.33335332,0.981786977,21.91484906
0.199996525,0.497519204,0.783654176,0.755960806,0.747623737,0.29784669,28.06451506
0.018521794,0.986757274,0.419919827,0.455594387,0.612149636,0.17514501,24.58228216
0.793697703,0.030431017,0.852304429,0.383651731,0.796970558,0.765844409,28.65192423
0.223924688,0.465867286,0.656055259,0.002150954,0.822467023,0.144491309,23.43450067
0.345351681,0.473904697,0.107789882,0.351682221,0.676556984,0.800981497,26.5077869
0.928081293,0.691806389,0.025717059,0.908089163,0.330208832,0.31079295,24.93516305
0.704414402,0.266400115,0.589777316,0.047731737,0.737458963,0.546147357,24.95932989
0.03183893,0.799934067,0.894106395,0.140929863,0.598088239,0.495004812,24.30230176
0.164694156,0.40099342,0.223520115,0.691490101,0.47071964,0.530607187,24.31826097
0.621478401,0.095162393,0.446104023,0.637363374,0.568446631,0.88428114,27.26454553
0.577228589,0.630060499,0.044782851,0.615052785,0.619860664,0.61944201,27.33766767
0.237892821,0.026393144,0.483216288,0.548028734,0.175435421,0.564282085,19.49459739
0.934213998,0.716802194,0.799659861,0.607038417,0.649743686,0.339971804,28.35733813
0.613965956,0.012140298,0.479334688,0.678700003,0.381795902,0.950496278,25.38958708
0.535632803,0.596670202,0.433956716,0.52320015,0.535181573,0.864975743,27.39846978
0.589909976,0.870891979,0.244202427,0.628411127,0.282019069,0.950893158,26.06796091
0.73012203,0.698408427,0.534633027,0.012357018,0.112969704,0.812319345,19.84879417
0.311944995,0.624343755,0.840300511,0.475719254,0.182317831,0.048984127,19.04442214
0.398221062,0.431791125,0.548517927,0.422464268,0.429235691,0.768972005,24.44506631
0.209843749,0.336195517,0.293259889,0.775831368,0.310518317,0.274272045,21.62073212
0.186193006,0.370295521,0.787629031,0.226119182,0.935563669,0.55783024,28.03734644
0.94437239,0.37502642,0.109764187,0.769192506,0.768077382,0.170095324,27.86103056
0.739550795,0.529883629,0.035677716,0.50313072,0.939345836,0.102481398,27.9256104
0.490458809,0.143330081,0.198697229,0.66681229,0.981590538,0.89926134,31.9852206
0.227414628,0.881881935,0.530494146,0.047177059,0.171788466,0.907584539,20.77866292
0.254356482,0.625875544,0.296604763,0.816054244,0.861873898,0.857599602,32.35805699
0.05802916,0.374436228,0.682592632,0.54865024,0.744379869,0.821819275,28.59681219
0.434416626,0.982212164,0.841594748,0.586385984,0.838498992,0.261903764,29.96768449
0.311795882,0.872527537,0.317648868,0.205469517,0.793968063,0.282370021,25.88993163
0.696343489,0.60681619,0.751537169,0.845974829,0.964287029,0.108159592,31.52853259
0.377751839,0.371748818,0.243803412,0.276696651,0.2389999,0.981619638,21.67273215
0.179603678,0.369093856,0.821615441,0.834751491,0.888698376,0.270594406,29.72477357
0.024678728,0.066706726,0.923682913,0.908712848,0.915090494,0.062593131,28.38133068
0.067249631,0.342520971,0.399901514,0.798386291,0.426372856,0.42298491,23.78363101
0.679392773,0.245684228,0.088676011,0.938017219,0.635570955,0.374297986,27.35529695
0.453696845,0.608551122,0.404270065,0.184332579,0.408478949,0.050960936,19.60199969
0.536579211,0.720163486,0.373040166,0.194491439,0.508731586,0.308858368,22.60922863
0.896671293,0.292424811,0.509441834,0.871516594,0.624572577,0.978674568,31.0521231
0.990338947,0.546147499,0.498107864,0.468745508,0.329524544,0.53817111,23.82390532
0.216896984,0.787079643,0.874948267,0.125890343,0.760652323,0.861401222,28.29763134
0.663078203,0.64190381,0.619428237,0.1062194,0.825901222,0.67186539,28.08846821
0.263322377,0.743661313,0.076939547,0.502254,0.945888236,0.4985293,29.72986735
0.020650999,0.218079688,0.655458741,0.641948044,0.404364135,0.069378992,20.72968202
0.758378654,0.635049893,0.785442813,0.816841443,0.55026706,0.025932113,26.23398515
0.320017151,0.273784313,0.154824126,0.574560012,0.710947355,0.694655654,27.14563003
0.383463894,0.230750588,0.211444792,0.043976915,0.759786724,0.642931246,24.37230515
0.588317114,0.270937279,0.910038078,0.964063161,0.905244341,0.97976801,34.90065429
0.831048455,0.366525512,0.95451634,0.544510811,0.846176182,0.062852022,27.92888712
0.628981844,0.470940417,0.095652887,0.220553403,0.41718512,0.339498246,20.84129735
0.872650655,0.229261443,0.926708439,0.382732958,0.820862617,0.329988155,27.61983822
0.273542035,0.349963495,0.999361071,0.363221859,0.996204893,0.19283876,28.19399983
0.798046834,0.896496715,0.46685726,0.557802625,0.45972929,0.068345654,24.19116521
0.185635944,0.134626908,0.82988378,0.832997659,0.806329997,0.701454707,30.20119773
0.952791657,0.21572406,0.193934588,0.954486235,0.214186015,0.309609425,22.68885409
0.687488276,0.060692693,0.478367353,0.131014919,0.425592803,0.92704624,22.80304001
0.215507677,0.70888113,0.111409002,0.44209861,0.208745735,0.779481269,21.77971907
0.94737059,0.529410714,0.699162276,0.364061142,0.202899486,0.138268442,19.84221963
0.730855807,0.474320341,0.382931581,0.30228027,0.35501064,0.645433751,22.76004807
0.253941643,0.034415176,0.146213167,0.69069697,0.873757569,0.956554803,30.24249523
0.213311977,0.961342666,0.221921978,0.468776487,0.998677373,0.226728273,29.57396368
0.518200714,0.844077365,0.131200945,0.676857329,0.324813824,0.657481964,25.01175462
0.025662718,0.820374108,0.351284016,0.986139093,0.870805621,0.151660249,30.16417704
0.207470075,0.875217476,0.843493387,0.455909629,0.293356793,0.140926386,21.26620388
0.424685469,0.777025161,0.464215773,0.968090719,0.410343189,0.804501675,28.63194104
0.37416998,0.139437567,0.669116296,0.16596004,0.645582401,0.435820153,23.09217692
0.463575424,0.971492431,0.955593884,0.807857035,0.263877192,0.461717097,25.59727297
0.277628706,0.933718473,0.696313833,0.051411111,0.69043353,0.03729052,23.18100521
0.586784346,0.696077111,0.242824279,0.209120787,0.374002746,0.37718758,21.25473202
0.863855606,0.292010677,0.081143095,0.315188218,0.737208883,0.687630979,26.90124869
0.117531856,0.001111108,0.822389713,0.159827838,0.110236916,0.062122935,14.06440631
0.517379107,0.485861769,0.27924697,0.490015292,0.672340142,0.587564456,26.85720971
0.132068106,0.594803473,0.627054742,0.313442317,0.241771811,0.966837997,22.60523436
0.716859681,0.993981323,0.917678813,0.60614073,0.970835564,0.741850702,34.78830622
0.396059703,0.132915037,0.526306394,0.262867837,0.668082121,0.087233529,22.01068423
0.565421312,0.088820097,0.515378437,0.107465778,0.437802333,0.759685642,21.86722145
0.183279836,0.426318438,0.382757004,0.188090938,0.954416894,0.755377938,28.57808854
0.144847759,0.750956222,0.488376589,0.499546698,0.523455791,0.433390816,24.72083283
0.488056281,0.34007033,0.676990527,0.073941722,0.227288888,0.208772622,17.22678944
0.355612738,0.662360253,0.619874429,0.370071939,0.698498315,0.27923758,25.62671719
0.940431945,0.889438387,0.86929841,0.505065992,0.801718846,0.733623844,32.17226799
0.765325254,0.793161991,0.989698702,0.656868423,0.885021283,0.374198377,31.82714235
0.74866362,0.101595859,0.419254929,0.723012012,0.235974916,0.522392189,22.21272921
0.90371974,0.446075327,0.980093667,0.698320122,0.820367113,0.884763339,33.07394875
0.083422435,0.037992654,0.664711578,0.979076321,0.30826173,0.376240512,22.73269144
0.55219247,0.168638324,0.740807093,0.122603364,0.886570738,0.627355641,27.23275779
0.584476069,0.770711027,0.394498699,0.647498954,0.851583072,0.505025513,30.70195143
0.961936379,0.174093132,0.712160343,0.175650737,0.699390671,0.11038948,23.51293254
0.292147527,0.558814049,0.832090327,0.84980364,0.038794927,0.083993831,19.49320282
0.24082878,0.614978486,0.601274763,0.474731293,0.668873918,0.20147168,25.11073834
0.100293942,0.156636337,0.118812815,0.601712823,0.656617149,0.13166776,22.99673764
0.01642963,0.914822163,0.584228123,0.960600986,0.513851164,0.369189693,27.42943627
0.929529317,0.058501847,0.227231055,0.366134192,0.214064527,0.207340165,18.17769106
0.669916547,0.919234591,0.41698607,0.58013086,0.332069047,0.729939733,25.83832837
0.785152912,0.113799387,0.448980871,0.241246936,0.928146812,0.20905573,26.21569731
0.281730106,0.900869983,0.704837411,0.49235684,0.920348674,0.89588992,32.801101
0.586410166,0.367890927,0.420466519,0.216646161,0.778387341,0.509321361,26.09432475
0.063955266,0.78984079,0.503931163,0.319283694,0.539271957,0.317496374,23.22777716
0.485627596,0.394237635,0.116991685,0.973524808,0.205706592,0.475616663,23.01716689
0.97749514,0.733156483,0.682072184,0.253660007,0.028261048,0.273149312,18.40440719
0.876505245,0.852390755,0.06233554,0.024196004,0.808363437,0.418480562,26.34162614
0.338158952,0.525438879,0.31261931,0.641087647,0.337467275,0.249427678,21.86483508
0.961570155,0.402139567,0.665077982,0.712248021,0.040211066,0.905265737,23.40952559
0.231701626,0.39463264,0.301245481,0.018786243,0.345611709,0.003986591,16.37916032
0.949318822,0.056591763,0.007690493,0.535867927,0.945931035,0.486554964,29.07910347
0.941377705,0.014815717,0.443364174,0.279892857,0.510942348,0.561972539,23.21277683
0.799202587,0.743570134,0.649770129,0.430934784,0.413134959,0.539897745,25.04648771
0.630447937,0.415399483,0.846732918,0.68214255,0.254437553,0.03046911,21.07564519
0.874287967,0.151092768,0.889500385,0.869730997,0.170418699,0.603473568,23.81688302
0.293020285,0.871536997,0.245229651,0.334804338,0.78300123,0.345186428,26.69926896
0.848943555,0.637771726,0.954285697,0.927481922,0.696723299,0.553101352,31.73370871
0.617876692,0.474504448,0.372151915,0.439696346,0.43080528,0.184511756,21.94789482
0.013236858,0.356984993,0.044110634,0.769026199,0.977718567,0.284521682,28.93298306
0.347233518,0.344746326,0.309095819,0.062201591,0.824735362,0.240529017,23.66502872
0.148140861,0.371420281,0.175053698,0.795637349,0.678883758,0.855671113,28.87190786
0.98182939,0.886554336,0.271444575,0.856182196,0.895662407,0.367635895,32.75371019
0.478370307,0.378604127,0.554819769,0.294808593,0.283152115,0.156041936,18.87166926
0.497391365,0.019316431,0.595525003,0.180294759,0.452876517,0.315370444,20.03915851
0.639472516,0.144933692,0.152078259,0.813732657,0.863223566,0.641525174,30.3905681
0.368584606,0.346208236,0.393245178,0.055245685,0.355474417,0.567092725,19.79829242
0.136900272,0.166352201,0.620779205,0.017256757,0.225937209,0.012654644,14.58208622
0.822117733,0.822981462,0.524085115,0.952883483,0.62088998,0.706248686,31.59853161
0.189847912,0.998731611,0.557882562,0.549807029,0.497734781,0.45115064,25.74012725
0.511318983,0.334163021,0.914578652,0.789249538,0.879232586,0.954109727,33.45383191
0.224317029,0.485186348,0.716703091,0.152277635,0.02659815,0.928442789,18.85430529
0.097844484,0.047618167,0.301638541,0.596426252,0.128599517,0.507158606,18.44854602
0.862191517,0.194464114,0.481227673,0.392775523,0.340191813,0.268072916,20.80893636
0.972919489,0.229060506,0.100940993,0.168519669,0.895201786,0.569727164,27.38660724
0.960834658,0.387482914,0.297900842,0.532711353,0.979106098,0.544907644,31.20104884
0.906555499,0.82641661,0.937895317,0.20860659,0.384959414,0.304924889,23.09498075
0.774047333,0.399210272,0.693475009,0.007271531,0.569460374,0.875444397,25.04031366
0.333145152,0.74142861,0.99137609,0.90964958,0.118079693,0.788425105,25.19461959
0.08110139,0.528589887,0.417595525,0.111926411,0.207287569,0.134980218,16.20827611
0.407241171,0.663649205,0.525917454,0.491663621,0.339255438,0.967876015,25.45473319
0.232234142,0.197223776,0.964272936,0.984117179,0.899307378,0.245749455,30.4276879
0.132487635,0.038811808,0.621422787,0.041750272,0.816138981,0.864809713,25.68176284
0.053427182,0.246670461,0.458233271,0.621502924,0.086913737,0.042281005,16.51760307
0.725594364,0.101232665,0.730690455,0.044010566,0.610903451,0.801878376,24.4552191
0.011427459,0.702668188,0.624893696,0.550832662,0.157577135,0.001849717,18.2733702
0.770580749,0.569225521,0.969468227,0.284626417,0.691874863,0.332465376,26.37562414
0.146946645,0.793688447,0.955449354,0.267187247,0.183587646,0.941861686,22.62361633
0.079522083,0.402596394,0.796991934,0.447567066,0.086941083,0.80969359,20.33948459
0.089603034,0.260492165,0.253835055,0.710420093,0.025152844,0.224420574,17.0278927
0.672047807,0.861040855,0.592699521,0.568970424,0.661724629,0.772928767,30.03542938
0.24536721,0.565530525,0.938492221,0.59493677,0.046136781,0.631050953,20.87358108
0.420539467,0.472898797,0.001608427,0.290405026,0.405915172,0.234950292,20.05035165
0.557368791,0.891343749,0.105714333,0.760475606,0.203339563,0.102190417,21.46122081
0.860551174,0.347812563,0.468052357,0.037820281,0.483623425,0.602547732,22.50976001
0.727044263,0.408902201,0.646426301,0.903849771,0.084664955,0.187576327,21.0273943
0.270327905,0.257444578,0.128332117,0.930273693,0.554434258,0.355661578,25.51864886
0.131482799,0.132707519,0.334848686,0.018016987,0.11769609,0.306354114,14.21558676
0.05537432,0.570896078,0.013018712,0.224781318,0.608879523,0.630074077,23.64857751
0.301598634,0.921342132,0.748161501,0.344476946,0.203380056,0.192760985,19.9606932
0.262118149,0.648802309,0.201802987,0.332989869,0.351441538,0.958387005,23.7805204
0.456140567,0.663860424,0.838015939,0.477858736,0.035877841,0.92614672,22.08930642
0.683281336,0.85842386,0.561060075,0.876459863,0.927860051,0.684570966,34.59935898
0.695625446,0.700121049,0.637330154,0.881428083,0.119648898,0.886138456,25.60265683
0.283518847,0.37594043,0.179242752,0.993067234,0.112079607,0.763756205,23.08586283
0.379926956,0.803325108,0.18534099,0.127586934,0.880124911,0.392910202,26.73941227
0.181150962,0.123997371,0.34077996,0.002479884,0.39824765,0.111767942,16.59815478
